scheme,lat,lon
CHI-karekök,41.89545297530616,-87.63150650573355
CHI-karekök,41.904988175386045,-87.632705517233
CHI-karekök,41.70736684977064,-87.61939463909926
CHI-karekök,41.76988458385621,-87.6201751420092
CHI-karekök,41.779657291780104,-87.61726138014158
CHI-karekök,41.79785767770489,-87.62056930650849
CHI-karekök,41.83275579175853,-87.61849013291784
CHI-karekök,41.85324859849179,-87.62304014603313
CHI-karekök,41.895485034750415,-87.62287872903778
CHI-karekök,41.65563237869753,-87.60526870450794
CHI-karekök,41.691109456269984,-87.60851043890857
CHI-karekök,41.726321227185935,-87.60646410748203
CHI-karekök,41.744731435963764,-87.60479244499956
CHI-karekök,41.76112468612463,-87.60873975339614
CHI-karekök,41.8067422128103,-87.60728382270572
CHI-karekök,41.824175930245374,-87.60838813672201
CHI-karekök,41.78034584370679,-87.59587764585963
CHI-karekök,41.73491845735766,-87.58421714124053
CHI-karekök,41.75301682343608,-87.58338542373717
CHI-karekök,41.77083408446488,-87.58450236698262
CHI-karekök,41.79756253723404,-87.58508010639554
CHI-karekök,41.7170895579861,-87.56969540545627
CHI-karekök,41.76993255349497,-87.57182281361295
CHI-karekök,41.7533950091289,-87.56058887686804
CHI-karekök,41.65405947143992,-87.54683349474347
CHI-karekök,41.735008510377234,-87.5481588256353
CHI-karekök,41.70038758037919,-87.53546718914382
